model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count
tf_mobilenetv3_large_075,1881.73,136.027,256,224,0.16,4.0,3.99
tf_mobilenetv3_large_minimal_100,1866.91,137.106,256,224,0.22,4.4,3.92
mobilenetv3_rw,1823.95,140.336,256,224,0.23,4.41,5.48
mobilenetv3_large_100,1807.98,141.577,256,224,0.23,4.41,5.48
ghostnet_100,1748.66,146.379,256,224,0.15,3.55,5.18
vit_tiny_r_s16_p8_224,1708.23,149.844,256,224,0.44,2.06,6.34
simplenetv1_small_m1_075,1679.14,152.44,256,224,0.76,1.49,3.29
tf_mobilenetv3_large_100,1664.51,153.781,256,224,0.23,4.41,5.48
tinynet_b,1631.5,156.893,256,188,0.21,4.44,3.73
mnasnet_100,1591.24,160.862,256,224,0.33,5.46,4.38
mobilenetv2_100,1447.7,176.814,256,224,0.31,6.68,3.5
regnetx_006,1392.81,183.783,256,224,0.61,3.98,6.2
efficientnet_lite0,1389.93,184.164,256,224,0.4,6.74,4.65
simplenetv1_small_m2_075,1366.3,187.348,256,224,0.96,1.71,3.29
tf_efficientnet_lite0,1281.48,199.751,256,224,0.4,6.74,4.65
simplenetv1_5m_m1,1196.13,214.001,256,224,1.35,1.98,5.75
mobilenetv2_110d,1074.79,238.167,256,224,0.45,8.71,4.52
simplenetv1_5m_m2,983.35,260.313,256,224,1.69,2.28,5.75
deit_tiny_patch16_224,910.04,281.285,256,224,1.26,5.97,5.72
swsl_resnet18,904.21,283.099,256,224,1.82,2.48,11.69
gluon_resnet18_v1b,903.94,283.181,256,224,1.82,2.48,11.69
resnet18,903.06,283.459,256,224,1.82,2.48,11.69
legacy_seresnet18,839.26,305.007,256,224,1.82,2.49,11.78
resnet18d,748.07,342.191,256,224,2.06,3.29,11.71
resnet26,577.01,443.643,256,224,2.36,7.35,16.0
simplenetv1_9m_m1,576.4,444.111,256,224,2.78,3.28,9.51
crossvit_9_240,566.91,451.548,256,240,1.85,9.52,8.55
tf_mixnet_s,561.97,455.515,256,224,0.25,6.25,4.13
vit_base_patch32_224_sam,506.32,505.581,256,224,4.41,5.01,88.22
resnet34,505.46,506.444,256,224,3.67,3.74,21.8
tv_resnet34,504.76,507.146,256,224,3.67,3.74,21.8
dla34,500.59,511.368,256,224,3.07,5.02,15.74
repvgg_b0,474.44,539.564,256,224,3.41,6.15,15.82
simplenetv1_9m_m2,467.01,548.144,256,224,3.56,3.73,9.51
resnest14d,422.86,605.372,256,224,2.76,7.33,10.61
densenet121,323.53,791.254,256,224,2.87,6.9,7.98
tv_densenet121,321.54,796.136,256,224,2.87,6.9,7.98
vgg11,250.92,1020.206,256,224,7.61,7.44,132.86
vgg11_bn,242.26,1056.678,256,224,7.62,7.44,132.87
vgg13,151.34,1691.576,256,224,11.31,12.25,133.05
vgg13_bn,146.14,1751.759,256,224,11.33,12.25,133.05
vgg16,121.57,2105.753,256,224,15.47,13.56,138.36
vgg16_bn,117.89,2171.544,256,224,15.5,13.56,138.37
vgg19,101.7,2517.268,256,224,19.63,14.86,143.67
vgg19_bn,98.69,2593.994,256,224,19.66,14.86,143.68
mixer_l16_224,46.14,5548.87,256,224,44.6,41.69,208.2
